Word,Sana,Rank
be,olla,1
and,ja,2
in,sisään,3
to,että,4
have,omistaa,5
to,että,6
it,se,7
I,minä,8
that,että,9
for,varten,10
you,sinä,11
he,hän,12
with,kanssa,13
on,päällä,14
do,tehdä,15
say,sanoa,16
this,Tämä,17
they,ne,18
but,mutta,19
we,me,20
his,hänen,21
from,alkaen,22
that,että,23
not,ei,24
love,rakkaus,25
by,mennessä,26
she,hän,27
or,tai,28
as,kuten,29
what,mitä,30
go,mennä,31
their,heidän,32
can,voida,33
who,Kuka,34
get,saada,35
if,jos,36
would,olisi,37
her,hänen,38
all,kaikki,39
my,minun,40
make,tehdä,41
about,noin,42
know,tietää,43
will,tahtoa,44
as,kuten,45
up,ylös,46
one,yksi,47
time,aika,48
there,siellä,49
year,vuosi,50
so,niin,51
think,ajatella,52
when,kun,53
which,joka,54
them,niitä,55
some,jonkin verran,56
me,minulle,57
people,ihmiset,58
take,ottaa,59
out,ulos,60
into,osaksi,61
just,vain,62
see,nähdä,63
him,häntä,64
your,teidän,65
come,tulla,66
could,voisi,67
now,nyt,68
than,kuin,69
like,Kuten,70
other,muut,71
how,millä tavalla,72
then,sitten,73
its,sen,74
our,meidän,75
two,kaksi,76
more,lisää,77
these,nämä,78
want,haluta,79
way,tapa,80
look,Katso,81
first,ensimmäinen,82
also,myös,83
new,Uusi,84
because,koska,85
day,päivä,86
more,lisää,87
use,käyttää,88
no,ei,89
man,mies,90
find,löytö,91
here,tässä,92
thing,asia,93
give,antaa,94
many,monet,95
well,hyvin,96
only,vain,97
those,nuo,98
tell,kertoa,99
one,yksi,100
very,erittäin,101
her,hänen,102
even,jopa,103
back,takaisin,104
any,minkä tahansa,105
good,hyvä,106
woman,nainen,107
through,kautta,108
us,meille,109
life,elämä,110
child,lapsi,111
there,siellä,112
work,tehdä työtä,113
down,alas,114
may,saattaa,115
after,jälkeen,116
should,pitäisi,117
call,puhelu,118
world,maailman-,119
over,yli,120
school,koulu,121
still,edelleen,122
try,yrittää,123
in,sisään,124
as,kuten,125
last,kestää,126
ask,kysyä,127
need,tarve,128
too,liian,129
feel,tuntea,130
three,kolme,131
when,kun,132
state,osavaltio,133
never,ei koskaan,134
become,tulla,135
between,välillä,136
high,korkea,137
really,Todella,138
something,jotain,139
most,suurin osa,140
another,toinen,141
much,paljon,142
family,perhe,143
own,oma,144
out,ulos,145
leave,jättää,146
put,laittaa,147
old,vanha,148
while,sillä aikaa,149
mean,tarkoittaa,150
on,päällä,151
keep,pitää,152
student,opiskelija-,153
why,miksi,154
let,antaa,155
great,loistava,156
same,sama,157
big,iso,158
group,ryhmä,159
begin,alkaa,160
seem,näyttää,161
country,maa,162
help,auta,163
talk,puhua,164
where,missä,165
turn,vuoro,166
problem,ongelma,167
every,joka,168
start,alkaa,169
hand,käsi,170
might,mahti,171
American,amerikkalainen,172
show,show,173
part,osa,174
about,noin,175
against,vastaan,176
place,paikka,177
over,yli,178
such,sellainen,179
again,uudelleen,180
few,harvat,181
case,tapaus,182
most,suurin osa,183
week,viikko,184
company,yhtiö,185
where,missä,186
system,järjestelmä,187
each,kukin,188
right,oikea,189
program,ohjelmoida,190
hear,kuulla,191
so,niin,192
question,kysymys,193
during,aikana,194
work,tehdä työtä,195
play,pelata,196
government,hallitus,197
run,juosta,198
small,pieni,199
number,määrä,200
off,pois päältä,201
always,aina,202
move,liikkua,203
like,Kuten,204
night,yö,205
live,elää,206
Mr,Herra,207
